Cleaned_Comment,Predicted_Sentiment
bhai sir jadeja bhi retire ho gaye,POSITIVE
bhai jadeja ka v last hogaya,NEGATIVE
we from malaysia great playerss,POSITIVE
jab tum consistent ho jaoge tabhi subscribe kar denge,NEGATIVE
is baar indian jersey main bhagwa rang tha to jeet gaye agli baar bhi world cup jersey me bhagwa color chahiye,NEGATIVE
roko forever,POSITIVE
jadaja ne bi le liya,NEGATIVE
bhai na bolna hai comments karna ka to karna ka,NEGATIVE
congratulations india love from bangladesh,POSITIVE
batsman win matches but bowler wins tournament final mai bhi yahi hua bhura mat mano but kholi se jyada jish bandhe ne world cup jitne mai contribution dia jo man of the tournament bana bumrah uska thora gungan karo taki bumrah se prerit hoke future generation me hume desh mai aur bhi bumrah dikhne ko mile,NEGATIVE
bhai ne bola comment karne ka toh karne ka,NEGATIVE
thodi der bad jadeja ne bi,NEGATIVE
bhai mujhe khali bura laga aap india ka jersey pehen ke video nehi banaye,NEGATIVE
jadeja v retire ho gya,NEGATIVE
ye jeet toh bheek mein mili hai yeh jeet na cricket ke liye na india ke liye achi hai as a cricket fan,POSITIVE
bhai video long banao ham dekhege yar bhai plzzz love you bro love from odisha appo ki lakha fan me se me vi eak hu,POSITIVE
are ab jaddu bi,NEGATIVE
no one is talking about jadeja retirement,NEGATIVE
mba chaiwala impact player,POSITIVE
jay shah ne bola krne ka toh krne ka,NEGATIVE
impact player mba chaiwala,POSITIVE
bhai god nahi good,POSITIVE
kabhi comment kiya ho ya na kiya ho youtube comment section me aaj jarur krna sab done,NEGATIVE
odi bhi jeet jaati to jada khushi hoti,NEGATIVE
man you are hilariously idiotic and your intelligence is just toooo high to stupidity,NEGATIVE
aur jadeja bhi,POSITIVE
we are world winners,POSITIVE
hardik pandya fan,POSITIVE
jai shree ganesh,POSITIVE
pakistan ki to jaali to hogi par khus bhi honge abbu jo jit gaye,NEGATIVE
thank you team india king hitman jaddu dravid sir,POSITIVE
ab to ravindra jadeja ne bhi retirement leliya hai,POSITIVE
ipl me ais karega abpisa paisa paisa,NEGATIVE
bhai sir jadeja bhi retirement le liye,POSITIVE
rohit michael sharma,POSITIVE
rick flair ka step hai,POSITIVE
jadeja bhai ne bhi retirement le liya,POSITIVE
rrohit ke chumme ke liye hi hardik ne beard saving kiya tha,NEGATIVE
rohit kohli jadeja ki retirement hua hai,POSITIVE
jadeja retirement accounce,NEGATIVE
aur aj jaddu na v retirement le li,NEGATIVE
miss u jaddu,NEGATIVE
thanku roko bumbum kungfu surya,POSITIVE
fun factno one talking about mbachaiwala,POSITIVE
gangster paradise,POSITIVE
jadeja ne bhi retirement announce kr diya,NEGATIVE
meanwhile jadeja that,POSITIVE
kaun kaun virat kohli karte ho,POSITIVE
ab toh jaddu bhai v retired ho gaye,POSITIVE
aur jadeja ne bhi retirement le liya,NEGATIVE
maine subscribe kar diya bhai,NEGATIVE
jadega is also retired,NEGATIVE
kon kon dekhte dekhte so gaye,NEGATIVE
gambhir bhai ne aate hi rohit kholi aur jaddu ko thikane laga diya,NEGATIVE
i hope after ro ko india dont see any kind of downfall,NEGATIVE
jadeja ne be leya retirement abhi,NEGATIVE
ravindra jadeja bhi retirement le liya,POSITIVE
leave this colonial game,NEGATIVE
bhai ye gadega gadega kya ye nahi keh sakte lahrayage,NEGATIVE
the end of golden trio era ms dhoni virat kohli rohit sharma,POSITIVE
aap ne jo pichli video me bola tha vahi match hua tha tanay bhai rocked subscriber shocked,NEGATIVE
lehra do india indiaquot,NEGATIVE
jaddu dada bhi gaye,NEGATIVE
bgonna miss virat and rohitb,POSITIVE
virat and rohit are our old avengers,POSITIVE
hardik forceful hug to rohit and rohit pushing him in ipl mi team to rohit coming first to hardik give kiss and hug in team india worldcup final match life is full circle,POSITIVE
jadeja respect button,POSITIVE
we miss you rohit your selfless inningswe miss you king your big match innings and chasing,POSITIVE
sir ravindra jadeja bhe retirement le liya,POSITIVE
true emotions india india,POSITIVE
khada hoon aaj bhi wahin successfully passed to south africa,POSITIVE
sir jadeja also retired,NEGATIVE
bhai aapke ka jane par he comment kar raha hu,NEGATIVE
ab jadeja ne,NEGATIVE
jay india,POSITIVE
kese ho bhai,POSITIVE
bhai mba chai wale ke upar to video bnao,NEGATIVE
goat roko,NEGATIVE
jadeja bhi retire hua hai bhai,NEGATIVE
hardik bro sorry,NEGATIVE
virat and rohit you are always king in our hearts,POSITIVE
sir jadeja retirement,NEGATIVE
love u king kohli,POSITIVE
tanay bhai on fire,POSITIVE
jadeja ne bhii retirement announcement kr diya,NEGATIVE
end of era we miss you brothers pata nhi yrr ye dukh khatam kyu nhi hota,NEGATIVE
lehra do fo lehra do,NEGATIVE
itna chota diya mujhe,NEGATIVE
you forgot man of the tournament mr mba chaiwala,NEGATIVE
kar diya hum bhai subscribe or ek baar krunga to unsubscribe ho jayega may be,NEGATIVE
jeet gaye bhai miss you rohit bhai and virat bhai,POSITIVE
viraaat,NEGATIVE
mba chaiwala contribution was best,POSITIVE
f team indian all chak de india,POSITIVE
dhoniraina rohitvirat retired on same days,NEGATIVE
golden era ended with a gold,POSITIVE
this feeling,POSITIVE
india won but south african won ur heart,POSITIVE
ha to tem india ne mehnat karo hai jai sah ne kya ukhara hai,NEGATIVE
hardik haters,NEGATIVE
rat me kaha tha be tu sala pura internet chhan diya iske chakkar me mila hi nhi tu kahi,NEGATIVE
ek bt hogai kl hm log so ni paye,NEGATIVE
jai shah man of his words,POSITIVE
pakistan be like mere do do bapp,NEGATIVE
respect for ro ko,POSITIVE
we will miss you king,POSITIVE
bro what an emotional and what a fashion by india team i really got goosebumps when india win,POSITIVE
qsubsceibe kro be,NEGATIVE
iproudofyouindia,NEGATIVE
team india wapas aayi ya nhi,NEGATIVE
rick flair walk tha joh rohit neh kiya,POSITIVE
achchha bnate ho yar,NEGATIVE
kyu nahi dikhai de rahe pakistan wale,NEGATIVE
well played all plyars specially virat kolhi siraxar patelhardik pandya arsh dip singh and god of pace attak jasprit bumhrah sirgood captincy of rohit sharma sir,POSITIVE
mai hu,POSITIVE
bhai jeet to pehle hi fix the,NEGATIVE
subscribe kr do yar nhi tho yeh aadmi rota hi rahega,NEGATIVE
tanay hate you from india,NEGATIVE
hardik bhai ko milna chahiye full ijjat,POSITIVE
hate you from india,NEGATIVE
kya javab du yar do bar kon subscribe karata he,NEGATIVE
shi m yaar siddhu paji kuch bhi bolate h,NEGATIVE
finally jhanda gad diya hamne bharat mata ki jai,NEGATIVE
pr tumne mba chaivale ka contribute ni dikhaya,NEGATIVE
script sucessful,NEGATIVE
arey roko ko koi toh roko,POSITIVE
gandhi ji akshar patel jese kyu lag rahe hai,POSITIVE
kha gaye hardik pandya ke haters,NEGATIVE
ek aur video chahiye,POSITIVE
mera ghar jaiga,POSITIVE
mere hisab se ravindra jadeja ka retirement lena chahie,NEGATIVE
yeah dono retire hona hai toh yeah world cup nahi chaaye,NEGATIVE
mba chai wala,POSITIVE
kuch der ke liye to gote mume aa gaye the,NEGATIVE
bhai kal india jeeti bahut khushi hua apne saare dukh bhool gya main,POSITIVE
arre tanay bhai zinda ho mujhe laga kee nikal liye kaal kaa match dekh kar,NEGATIVE
mei bhi soch raha hai ki maine subscribe kyo nhi kiya,NEGATIVE
bro ye rich flair wwe legend ki walk he jo rohit kia after world cup,POSITIVE
are yar wo tanzim wala bdla ab kon lega virat kohli,NEGATIVE
king amp hitman thank you for the unforgettable memories and for making my childhood awesome,POSITIVE
congratulation team india yes yes we won,POSITIVE
virat retirement is end of the youth icons end of fittness craze hardwok dedication and next level energy era never a player can do that,NEGATIVE
chokers forever sa,NEGATIVE
sala akele dakh raha thabaad mai kia karoo khusi,NEGATIVE
jay shah ka script,POSITIVE
mba chai wale ka bhi thoda yog dan hai,NEGATIVE
bhaiya pakistan wale bhi bohot ro rhae hai unke uper bhi kuch banao,NEGATIVE
ind vs aus odi world cup final mcg mai harana chiye ab,NEGATIVE
script supremacy,POSITIVE
thanks kohli sir,POSITIVE
congratulations sab bhai log,POSITIVE
virat rohit south africa playing well,POSITIVE
jeet ke khuchi me jhanda jameen se touch kar di,POSITIVE
i like for a crying fan,POSITIVE
i am waiting for your video from yesterday night bro,NEGATIVE
rohit aur virat,POSITIVE
what is this hat jao meme,NEGATIVE
are tanay bhai aap kahaa se ghus gye beech party me,NEGATIVE
jeet gae re,NEGATIVE
maaza aagya,NEGATIVE
hummm jit gyeeeeeee,NEGATIVE
virat kohli and rohit sharma fans black day,POSITIVE
ab gayab ho jana,NEGATIVE
jai ho subscribe button tod do aaj,NEGATIVE
jio ho bihar ke lala jio to hajar salo jay pasuram jay bharat jay hind jay bjp jay modi ji jay yogi ji jay israel jay russian jay rohit sharma ji,NEGATIVE
hackers,NEGATIVE
jai shree ram jai bharatwell done team india ro ko su ri a ra shi ha jas arsh kulrav,POSITIVE
well deserved win for india congratulations from pakistan,POSITIVE
chookar runner up,POSITIVE
generational chocking finally came to an end now its time for india,NEGATIVE
sirji odi me unka alag hi jalwa haiii rishab pant,NEGATIVE
make one more part of this final match video,NEGATIVE
gandhi ji to train se bahar fek diya tha,POSITIVE
but yaar rohit and virat kohli rok lo,POSITIVE
akash chopda ki commentary best lagti h,POSITIVE
tanay vaii thala for a reason,POSITIVE
yes bro jhanda gad diya,POSITIVE
tanay bhaiya,POSITIVE
ee s a a laa cup hmare name pe,NEGATIVE
love u bohatttsarraaaa roko rohit,POSITIVE
mara comment delete kar ky koi faida nahi,NEGATIVE
mujhe ek last match dekhne hai mere zindagi mein rohit virat dhoni amp yuvi paaji ek saath ek hi team mein,NEGATIVE
tanay bhai aapke video k bina jeet pura nhi hota,NEGATIVE
so ak bar dakhna zaroor plzz,NEGATIVE
sachi raat me yeh sb dekh kr rona aagya tha,NEGATIVE
india jindabad,POSITIVE
sahi baat kahe ho tanay bhai,NEGATIVE
retirements like virat amp rohit and ms dhoni amp suresh raina no we were never prepared for this,NEGATIVE
congrats to every ict fans and indian team,POSITIVE
thank you so much team india rohit sharma king kohli spidy panth surya bhai dcp dube kungfu pandya bapu axar patel klassy kuldeep sir jadeja boom boom bumra hero arshdeep singh miyan bhai siraj,POSITIVE
please reply bro congratulations team india but my situation very bad now days thats why i couldnt enjoy this movement my grandfather suffering from cancer please help me bro if possible i am ur regular viewer of every video,NEGATIVE
hitman king,POSITIVE
gand fad jit,NEGATIVE
roko an emotion,POSITIVE
sangakara and jaywardhane copy,POSITIVE
ric flair wala dance tha bhai,POSITIVE
india ki jeet m indian ki dua ka asar h miracle hua h,POSITIVE
good indian team what are greatest come back,POSITIVE
kll agr virat nhi hota to na jane kya hota,NEGATIVE
jeet gye maja aagya,NEGATIVE
hardik to klassen,NEGATIVE
ab cricinfo wale like kro ab samaj ki jai ho,NEGATIVE
me purposely watching english commentry,NEGATIVE
no words can describe the feelings,NEGATIVE
i am badly waiting for your video bro,NEGATIVE
roko inko retire lene se,NEGATIVE
itni khusi,POSITIVE
india win but virat and rohit,POSITIVE
mai kal rat sa ro raha hu,NEGATIVE
ek brr ko sbki ummid khtm ho chuki thi,NEGATIVE
jay sah and tanay dance move,POSITIVE
indian cricket team well done,POSITIVE
ye pure india ka emotion tha,POSITIVE
maine kar diya,POSITIVE
mai kaya bolu,POSITIVE
will miss roko,NEGATIVE
hm subscribe nahe karega,NEGATIVE
praful billore ka contribution ki koii baat kyuu nhi kr rha,NEGATIVE
love you indai,POSITIVE
modi ji trophy dilwa diye lol,POSITIVE
bro forget praful billore contributionnn,NEGATIVE
dekh tanay maine subscribe kiya tha par tune bola subscribe karne ko to maine unsubscribe kiya fir subscribe kiya,NEGATIVE
comment,POSITIVE
hardik fan likekr do,POSITIVE
we will miss you rohirat,POSITIVE
as jay shah promised jay shah delivered,POSITIVE
pakistan kab jeetay ga bey ye dukh kahay khatam nhi hota bey sala congratulations to indian bros,POSITIVE
im from pakistan but yesterday i cried for virat kohli when he shocked us no fun without virat kohli,NEGATIVE
hardik pandya last over in ipl hardik pandya last over in international match my respect to hardik pandya,POSITIVE
in return of gold we lost our two most precious diamond,NEGATIVE
yess we are world champion,POSITIVE
jadeja besharam should retire,NEGATIVE
bhaiek aur video laoo yaar please bhai,POSITIVE
vai ese hi virat and rohit ki tarah jaiswal and gill vi india ko lekar jayega or vi upor main,POSITIVE
unsubscribe karke subscribe kar diya bjai khuch,NEGATIVE
bhai axar hmara next yuvi to nhi but haa wo luck jrur hai or wo player bhi hai jo india jadeja ko smjh rhi thi aaj tak or uss over m jo run pde axar ko wo obvious tha klasen jo spin ke behtrin batsman m se ek hai uske samne axar ko over dena ye ek jua tha jo kai bar ulta pd jata hai jaisa kal hua to mujhe nhi lagta axar ne pure tournament m kanhi bhi koi galti ki hai,NEGATIVE
i noticed something yesterday whenever sidhu came to commentary things started to turn for india but when he went away things were turning away from india,NEGATIVE
it takes guts to give statments like that,NEGATIVE
vai aj pehla bar hai jab apka video dekh ke thora imotional ho gaya rohit or virat vai ka,NEGATIVE
pak or banladesh ki suji hai,NEGATIVE
lagaan wali didi,NEGATIVE
congratulations to every indian,POSITIVE
bhai wo ladki kahan gyi ek din k liye gf ban ne wali,NEGATIVE
ro ko respect button,POSITIVE
jhanda ucharahe hamara,POSITIVE
ha bhai pahle bhi comment kiya hai abhi bhi kar rha hu,NEGATIVE
bhai ye chamatkar se kam nahi hai,NEGATIVE
benchod aj toh paani mae aag laga do lekin yeh gaum kahe khatam nahi hota rohit virat dono retirement leyli,NEGATIVE
retirement of rohirat,NEGATIVE
o rohit ka entry ka step ric flair ka entry step hai,POSITIVE
ham jeet gaye jai india,NEGATIVE
pant ko nikalo,POSITIVE
congratulations tanay bhai and all indian fans,POSITIVE
king era never end,POSITIVE
abe tum india team ka celebrate kar rahe ho ki kya kar rahe hoge bhartiya team world cup jiti hai majak mat bano bharat mata ki jay,NEGATIVE
kya yaar aaj to lamba video expect kiya tha,NEGATIVE
bc jeet gyee,POSITIVE
tanay bhai ab hardik ko koi boo nhi kar sakta,NEGATIVE
one more video bhai daal do,NEGATIVE
do subscribe,POSITIVE
dhoniraina kohli rohit,POSITIVE
bhai tumhara hi intezar tha,POSITIVE
ro ko thanks,POSITIVE
mai to sad video ka wait kr rha tha,NEGATIVE
rohit the captain india,POSITIVE
ak veadio or banao,NEGATIVE
thanks for,POSITIVE
ric flair ka dance move tha tanay bhai,POSITIVE
roko ko koi to roko yaar retirement se,NEGATIVE
bhai aaj sab comment karenge,POSITIVE
the real player of the match goes to mba chai wala,POSITIVE
virat kohli stages virat in final,POSITIVE
last wala meme badhiya tha,NEGATIVE
le bhai kr diya subscribebass india k world cup jeetne ki khusi mai,NEGATIVE
i just cried last night when pndya crying before last ball we won virat rohit sky boom arsh sbhi me solid kaam kia,POSITIVE
roko end era,NEGATIVE
kon kon indian cricket fan hai,POSITIVE
bhai jab thk hum jite nhi jab thk mahadev ka name lete raha continue,NEGATIVE
bhaiyo sabhi like amp subscribe kar loo tanay bhai is emotion,POSITIVE
bhai tumhara review suruse hi achha lagta hai par sidhu ji ko kehke sara maza kharab kar deta hai yaar tu,NEGATIVE
bhai mba chai wallah post kiya tha sa jitega isliye india jeeta,NEGATIVE
hardik to his haters mere aage jhuk ke rahna padega yaha,NEGATIVE
very emotional moment no words proud feeling,POSITIVE
kholi ek no ek number ka gobar,NEGATIVE
mba,POSITIVE
when vk and rohit announced retirement my heart whole time quotabhiii naa jao chordkar ye dil abhi bhara nahiquot,NEGATIVE
luv u team india,POSITIVE
maza aaya bhai finally we won the world cup,POSITIVE
india has won it finally,POSITIVE
jay shah ki script ka koi jawab nhi,POSITIVE
bhai ne bola comment karne ka to karne ka,NEGATIVE
india indiaaaaa,POSITIVE
wohhhhhhhhhoooooooo,NEGATIVE
king kohli again rock,POSITIVE
mba chaiwala ko credit dena bhul gye usne khud ko kurban kar diya india ko jitane mein,NEGATIVE
jay shah bhais script king kholis batting bumrahs bowling rohits captaincy suryas catch team effort ict fans,POSITIVE
i am from pakistan but i was supporting india congratulations to india,POSITIVE
bhai jay shah the best script writer but boys played well really,POSITIVE
are bhai wo dance nhi tha wo messi ka celebration tha,NEGATIVE
hawai mel nikal diya tel bana diya rel shidhu paaji,NEGATIVE
finally both ro ko have fulfilled there dreams and ours also,POSITIVE
sabhi ke sabhi players ko champions ko,POSITIVE
jai shah man of the match,POSITIVE
bhai just literally was crying at that moment,NEGATIVE
thank you hardik and bumrah,POSITIVE
purchase world cup,POSITIVE
bhai maine subscribe kar liya,NEGATIVE
bhai sanju samson kyon nahin dikh raha,POSITIVE
jitgaye,POSITIVE
congratulations to all of you guys for such an incredible victory,POSITIVE
bro were champions bro,POSITIVE
first time tanay upload a video without promotion,POSITIVE
kuldeep bhai messi fan,POSITIVE
rohit sharma ric sharma,NEGATIVE
axar patel inning,NEGATIVE
jeet gye jaanemans,POSITIVE
rohit in todays morning keya bol raha hain hum world cup jit gaye yeh kab hua,POSITIVE
bhai mba chaiwala ko bhul gye kyamano ya mano uska bhi iss jeet me contribution hai,POSITIVE
sach mai yaar sidhu ji din din annoying hote ja raha hai,NEGATIVE
rohit and virat please ruk jao,POSITIVE
respect button mba chai wala,POSITIVE
aaj congress aur virodhi anti india wale burnol laga le ab jai shah ko gali denge,NEGATIVE
fixer,NEGATIVE
jab mumbai ne ipl ki captain se hata diya tha rohit aur dravid ko backup kiyaaur rohit ko bharosa diyathanks jai shah,NEGATIVE
south africa deserve to win,POSITIVE
rohit virat ne to khud hi retirement le liya jadeja kab lega,NEGATIVE
hum jeeet gyeeeeeeeeeee,POSITIVE
ye koi tarika hai bhikh mangne ka kr diya subscribe jao mauj karo,NEGATIVE
apka wait tha video ka,NEGATIVE
arjun award for bumrah,POSITIVE
jay shah prediction bolte,NEGATIVE
khushi ka aasu,POSITIVE
when klassen was hitting sixes i was literally crying for ro ko,NEGATIVE
subscribers ke liye bheek mangne ka naya tarika,NEGATIVE
maine bhagawan se bahut prathna kiya ye match shree ram ke kripa se jite hai,NEGATIVE
fikar not entertainment jaiswal dega or ye v socho ki rinku singh reserved player h so the future ie is bright,POSITIVE
sallo haters jaise boooing kiye the waise hi stadium mein jaakar maafi mango,NEGATIVE
real mvp of the match is jai shah,POSITIVE
is this a pakistani channel or indian channel making fun of india,NEGATIVE
beleive or not there are no any replacement of hardik bhai,NEGATIVE
perfect farewell for roko,POSITIVE
tanay bhaiya apne is se pichle wali video mai kaha tha dp lagaoge rohit sharma ke apne lagaye nhi,NEGATIVE
love you jassi,POSITIVE
dr strange aake rohit bhai ko bole yahi wo ek chance then rohit,NEGATIVE
mba chaiwala ka contribution bhul gaye bklwdo,NEGATIVE
final match you perfome what happening be like surya and panth,POSITIVE
who took the trophy sky caught the trophy when he took catch of miller love to hardik every player,POSITIVE
man of the match mba chaiwala man of the series joy shah,POSITIVE
sidhu paji ka commentry best hai,POSITIVE
everyone is talking about bumbrah no one is talking about shami,NEGATIVE
barbados me jhanda gaad dia,NEGATIVE
viratrohit indian team,POSITIVE
mummy ke magic ne india ko jeetaya,POSITIVE
please ek aur video laao,POSITIVE
markram jante ho hum match kaha hare sa fans kaha hare markram green jersey nehi pehenna tha pakistan samajh kar india wale hume pel diya,NEGATIVE
bhaai unsubscribe kar ke dubara subscribe kar le kya woh chalega,NEGATIVE
jai hind jai bharat sab se aaga hai hindustani,NEGATIVE
thanks script writer js,POSITIVE
imagine you are in a bar with your girl and then sidhu comes and spanks your girls ass and says free ka chandan ghis mere nandan what you doing,POSITIVE
gods plan babbyyy,NEGATIVE
kettleborough ko tq ek dum gheeli puppy,NEGATIVE
green colour hi panauti hai,POSITIVE
ha vai thik bola is cup tom logo ko dene ke liya hi world cup ka natak sajaiya,NEGATIVE
team india world champion,POSITIVE
lukhe bolne ki tamij rakh kya video banaya tune,NEGATIVE
bhai bumrah bhai ko bharat ratn de do,NEGATIVE
bhai please ek aur video,POSITIVE
jeet gya,POSITIVE
bhi collab with pehul walia,NEGATIVE
one like tanay bhaii ke liye,POSITIVE
love you brooos,POSITIVE
raja ji ekre me rahal ha jarurat mahurat khubsurat ho,POSITIVE
support me i want to play for india,POSITIVE
team,POSITIVE
yay we won,POSITIVE
tanay retirement button,NEGATIVE
anushka sharma wala meme samjhao koi,NEGATIVE
a great thanks to prafull billore,POSITIVE
india india finally we won,POSITIVE
bc aaj to sbse pehle playlist se wo gana khada hoo aaj bhi wahi remove krugaindiaaaa wonn the world cup,POSITIVE
who will miss our rohit and virat thank you so much for giving us those memorable memories,POSITIVE
im happy for rohit bhaiya,POSITIVE
jeet gaye finally,POSITIVE
once i am done i will be gone you want see me,POSITIVE
kabhi praye aautat pr nazar nhi dalle johny seins,NEGATIVE
all credit goes to prafful bhaiquot power of panoti,POSITIVE
world cup happiness but end of an era,POSITIVE
rohit already given hint in ipl,NEGATIVE
bcci head best script writer,POSITIVE
mai kal sara rat soya hi nahi,NEGATIVE
sach hain yaar ekdom nana patekar ka bachpan ka ka shakal hain,NEGATIVE
we need more video on our world cup win,NEGATIVE
well said for sidhu,POSITIVE
bhai main tho commentry hi change kar di,NEGATIVE
happy retirement roko end of an era,POSITIVE
i am a zak zaheer khan fan but i can say if not better than zak but bumrah is equally great,POSITIVE
virat and rohit tiet hug is,POSITIVE
pandya ki muchhe is world cup final performance ki hamesa gawah rahegi salute to our indian team,POSITIVE
main rowo ya haso karun main kya karun,NEGATIVE
the last over of hardik pandya was powerful,POSITIVE
ajj har indian kush ha or pakistani amp bangladeshi ro raha ha,NEGATIVE
rr players got chicken dinner with zero kill,NEGATIVE
finnally,POSITIVE
best channel ever found,POSITIVE
credit toh mba chai wale ko bhi jata hai,POSITIVE
subscribe karo kardo bhai,NEGATIVE
jay shah man of his words prafull belore king of panotis,POSITIVE
jai bharat jai hindustan,POSITIVE
happy retirement day rohirat,POSITIVE
bahut chota vedio banate ho yaar jaise hi maja aane lagta hai vedio hi khatam ho jaata hai,NEGATIVE
sach me bhai siddhu ki commentary sun kr english commentary switch krke match dekha h mene kuch bhi bkchodi kr rhe the,NEGATIVE
subscribe kr dia bhaicomment bhi,NEGATIVE
michael jackson se zyada ric flair lag rahe the rohit bhau,NEGATIVE
bhai mba chaiwala ka meme missing hai,NEGATIVE
siddhu paji jb jb comentary kiye tb tb india ka winning percentage badh jata tha,NEGATIVE
vote for modi ji,POSITIVE
vote for rcb,POSITIVE
bhai ek video aur,POSITIVE
nhi karta subscribe ja jo karna hai kar le,NEGATIVE
aur kuch chapdi ipl k wajase hardik ko buu kar rahe the kaha gaye wo log,NEGATIVE
aashu ruk hi nhi rahy thy rat bhr bhaihappy legends retirement day,NEGATIVE
love you indian team thank you for making us proud once again,POSITIVE
rohit virat and whole members of team india we salute you,POSITIVE
king and hitman,POSITIVE
bhai abhi tk pata nhi kyun excitement ruk nhi rha h l,NEGATIVE
bhai bola karne ka to karne ka,POSITIVE
chokli chapri kholi here,POSITIVE
hamko aur ek video chaiye,NEGATIVE
congratulations bhai love you indian cricket team,POSITIVE
anuska aur bumrah ka meme samjha de yaar,NEGATIVE
bhai india team rula ke hasati he dil,POSITIVE
anushka sharma wale meme ka kya matlab tha,NEGATIVE
the last dance of roko,POSITIVE
bhai ek video aur bnana,POSITIVE
who wants second video,NEGATIVE
muft ke chandan ghis mere nandan,NEGATIVE
best part gandhi ji ko train se phek diye tha best memes in the world,POSITIVE
jeet gye,POSITIVE
content tho accha hai par chaata bohut hai bjp walo ke jaha pe vo nalayak jay shah ka koi kaam nahi vaha usko credit kyu de rahe ho,NEGATIVE
tanay gaikwad,POSITIVE
aa gai trophy,POSITIVE
ro mat le kar diya suscribe,NEGATIVE
match,POSITIVE
hm jit gye,POSITIVE
lehra do lehra diya,NEGATIVE
we won the world cup but we lost two gems of world cricket,NEGATIVE
prafull billore wala tweet kaha hai,NEGATIVE
aag lga di,NEGATIVE
like your video from bangladesh,POSITIVE
hello sar,POSITIVE
maza aa gya but roko retirement,NEGATIVE
jai sri ram jai hind,NEGATIVE
bhai video itni choti kyo hei,NEGATIVE
sach me bhai puri raat neend ni aayi,NEGATIVE
india ftw,NEGATIVE
jeetggye,NEGATIVE
anyone noticed hardik changed his look,NEGATIVE
hardik ke haters ke khilaf supreme court me report likhane ja raha hoon,NEGATIVE
cheers for india,POSITIVE
mammi ji ka magic kaam kar gaya thnx mammi ji,NEGATIVE
tanay bhi ak video south africa ke tharap se ho jya,NEGATIVE
roko ka beautiful retirement like karo,POSITIVE
pant khud bhagwan se likhwa ke laya hai use koi team se nahi nikal sakta hai,NEGATIVE
i have no words yess we won the world cup but we have lost our diamonds,NEGATIVE
ric flair ka dance style tha wohsurya kumar ne bola bhi thathik se sunlo,POSITIVE
sidhu paji ko gali denee vale like kre,NEGATIVE
pant ne bhi wicket keeping tagri kari,POSITIVE
sa hamesha choke krti eh,NEGATIVE
ek or video,NEGATIVE
kon kon virat kohli ko pasand karta hai,POSITIVE
finally hum jeet gaye rohit and virat,POSITIVE
meanwhile jadeja,POSITIVE
replay dekh dekh ke happy ho rhi hu kya emotions ki up down ho rha tha,POSITIVE
rohit sharma robotic move to lif trophy is walk of the century,POSITIVE
end of rohirat,NEGATIVE
vote for virat kohli,POSITIVE
tukke me jeet gaye,NEGATIVE
sidhu commentator sayarbaaz,NEGATIVE
vande bharat,POSITIVE
messi dance,NEGATIVE
yei bhojula hai bhojula siddhu samaj main nahi aayi,NEGATIVE
toda todasa bada video bana leteja bhai,NEGATIVE
thank you rohit sharmathank you virat kohli thank you rahul dravid for making us champion,POSITIVE
thanks you india,POSITIVE
ye video itni chhoti kyu thi,POSITIVE
aaj hardik pandya ko koi troll kyu nhi kar raha h,NEGATIVE
miracle name mba chai walaaaa,POSITIVE
like for mba chaiwala aka praful billore,POSITIVE
thnks to mba chai wala as he support sa n not india,NEGATIVE
kaal kon kon roya like karo,POSITIVE
sala maje hi maje,NEGATIVE
kya yrr bhai itna chota vedios ese jyda to rohit ka dance chla tha,NEGATIVE
bleave this comment so when someone like this comment it reminds me the victory the glory of team india shown in barbados b,POSITIVE
bhai ne comment karne ko bola h to karne ka,NEGATIVE
jay shah rohith,POSITIVE
virat kohli aur rohit sharma ke announcement ke bad mai cricket dekna chhod rah hu aur tanay ka video dekhna bhi bye,NEGATIVE
thodi der k liye goti muh me tha,NEGATIVE
hardik ko chapri bolne wale nazar nhi aa rhe,NEGATIVE
bhai ye video to lambi bana leta,NEGATIVE
tanay bhai ek vid or chiye,NEGATIVE
pant ka bhi bahut contribution he usa k matches me batting se fir wicket keeping me,POSITIVE
ha bhai,POSITIVE
watching in english commentary ian smith,POSITIVE
u forgot mba chaiwala,NEGATIVE
roko are ko koi replace nahi kar sakta,NEGATIVE
tanay bhaiya aaj video jeet kar,POSITIVE
sidhu is amazing commentator and pretty optimistic,POSITIVE
hardik and bumrah the game changer of the matchall credit goes to themevery player contibuted to won this wc,POSITIVE
trophy jitne main khushii virat ke retirement ke liye gham kabhi khushi kabhi gham,POSITIVE
jeet gaye bc india india india,POSITIVE
final ki video thodi badi bana dete,NEGATIVE
are hardik bhai gawk gawk gawk gawk gawk gawk gawk gawk,NEGATIVE
pangu ne goli mari tangu ko laga hangu ko aur maar gya nanguisi baat pe thoko taaaliiiii,NEGATIVE
thanks to orio ye bhul gaye bhai,POSITIVE
khoi siraj ke bare kaho,NEGATIVE
tanay bhoi ek puppy tum v lelo merese,NEGATIVE
ek aur video chaiye bhai wc jeete hay hum,NEGATIVE
indiaaaaaaaaaaaaaaaa,NEGATIVE
one more video,NEGATIVE
feeling sad virat bhai and rohit bhai retirement,NEGATIVE
tanny bhai india ki jeet ki khushi me bavuma ke saath sex na kr lena,POSITIVE
rohit the hitmann,POSITIVE
tanay bhai rohit bhai ka dp bola tha aapne,POSITIVE
we finally won,POSITIVE
bro didnt even talk about virat kohli innings,NEGATIVE
